ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2
20688818,05/28/2020,5480,103,511,1,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
21232590,05/29/2020,5574,94,548,37,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
21798993,05/30/2020,5736,162,548,0,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
22324778,05/31/2020,5898,162,550,2,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
22920957,06/01/2020,6021,123,551,1,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
23454415,06/02/2020,6184,163,553,2,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
23990625,06/03/2020,6414,230,579,26,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
24517338,06/04/2020,6833,419,582,3,,,58.31084,12.82996,SE,SWE,Sweden,Vastra Gotaland County,
581605,02/24/2020,1,,-1,,,,46.80021,8.2292,CH,CHE,Switzerland,,
7160255,02/25/2020,1,0,-1,0,,,46.80021,8.2292,CH,CHE,Switzerland,,
7160257,02/26/2020,2,1,0,1,,,46.80021,8.2292,CH,CHE,Switzerland,,
7160258,02/27/2020,8,6,0,0,,,46.80021,8.2292,CH,CHE,Switzerland,,
7160260,02/28/2020,13,5,0,0,1,,46.80021,8.2292,CH,CHE,Switzerland,,
7160262,02/29/2020,18,5,0,0,1,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160264,03/01/2020,22,4,0,0,1,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160266,03/02/2020,40,18,0,0,1,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160268,03/03/2020,55,15,0,0,1,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160270,03/04/2020,72,17,0,0,1,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160272,03/05/2020,102,30,0,0,1,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160274,03/06/2020,198,96,1,1,3,2,46.80021,8.2292,CH,CHE,Switzerland,,
7160276,03/07/2020,254,56,1,0,3,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160278,03/08/2020,350,96,2,1,3,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160280,03/09/2020,369,19,2,0,3,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160282,03/10/2020,480,111,2,0,3,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160284,03/11/2020,640,160,3,1,3,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160286,03/12/2020,858,218,4,1,4,1,46.80021,8.2292,CH,CHE,Switzerland,,
7160288,03/13/2020,1139,281,6,2,4,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160290,03/14/2020,1359,220,6,0,4,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160291,03/15/2020,2217,858,11,5,4,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160293,03/16/2020,2353,136,18,7,4,0,46.80021,8.2292,CH,CHE,Switzerland,,
7160295,03/17/2020,2677,324,21,3,4,0,46.80021,8.2292,CH,CHE,Switzerland,,
